Date,Station,Latitude,Longitude,Elevation,Date,Average Wind Speed,Time of Fastest Wind,Peak Gust Time,Average Temperature,Maximum Temperature,Minimum Temperature,Direction Fastest 2-Minute Wind,Direction Fastest 5-Minute Wind,Fastest 2-Minute Wind Speed,Fastest 2-Minute Wind Speed,"Fog, Ice, Freezing Fog",Heavy Fog or Heavy Freezing Fog,Thunder,"Ice Pellets, Sleet or Small Hail",Hail,Glaze or Rime,"Dust, Volcanic Ash or Blowing Dust",Smoke or Haze,Blowing or Drifting Snow,High or Damaging Winds,Mist,Drizzle,Freezing Drizzle,Rain,Freezing Rain,"Snow, Snow Pellets or Ice Crystals",Unknown Precipitation,Ground Fog,Ice fog or Freezing Fog
29,USW00094846,41.96017,-87.93164,204.8,2010-01-30,5.82,1031.0,1234.0,,25.0,18.0,110.0,60.0,13.0,25.9,,,,,,,,,,,,,,1.0,,1.0,,,
30,USW00094846,41.96017,-87.93164,204.8,2010-01-31,7.38,1221.0,1237.0,,29.0,15.0,250.0,280.0,17.0,21.9,,,,,,,,,,,,,,,,,,,
31,USW00094846,41.96017,-87.93164,204.8,2010-02-01,4.03,2249.0,1738.0,,30.0,14.0,130.0,60.0,8.9,17.0,,,,,,,,1.0,,,,,,1.0,,1.0,,,
32,USW00094846,41.96017,-87.93164,204.8,2010-02-02,7.16,2330.0,1920.0,,32.0,25.0,270.0,280.0,14.1,21.0,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,
33,USW00094846,41.96017,-87.93164,204.8,2010-02-03,5.59,12.0,1733.0,,32.0,23.0,270.0,50.0,14.1,21.9,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,
34,USW00094846,41.96017,-87.93164,204.8,2010-02-04,6.26,2253.0,2318.0,,33.0,21.0,100.0,110.0,14.1,23.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,,,,
35,USW00094846,41.96017,-87.93164,204.8,2010-02-05,14.99,2305.0,2231.0,,35.0,30.0,40.0,50.0,25.9,36.9,1.0,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,
36,USW00094846,41.96017,-87.93164,204.8,2010-02-06,15.21,1.0,0.0,,31.0,25.0,30.0,30.0,28.0,36.0,,,,,,,,,,,,,,1.0,,1.0,,,
37,USW00094846,41.96017,-87.93164,204.8,2010-02-07,5.82,1458.0,1239.0,,31.0,23.0,110.0,50.0,13.0,23.9,1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,
38,USW00094846,41.96017,-87.93164,204.8,2010-02-08,8.72,2223.0,2008.0,,30.0,20.0,100.0,90.0,17.9,29.1,,,,,,,,,,,,,,1.0,,1.0,,,
