"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094846","41.96017","-87.93164","204.8","2010-02-03","5.59"," 0012"," 1733",,"32","23","  270","   50","14.1","21.9","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-04","6.26"," 2253"," 2318",,"33","21","  100","  110","14.1","23.0","    1",,,,,,"    1","    1",,,"    1",,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-05","14.99"," 2305"," 2231",,"35","30","   40","   50","25.9","36.9","    1",,,,,,"    1","    1",,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-06","15.21"," 0001"," 0000",,"31","25","   30","   30","28.0","36.0",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-07","5.82"," 1458"," 1239",,"31","23","  110","   50","13.0","23.9","    1",,,,,,,,,,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-08","8.72"," 2223"," 2008",,"30","20","  100","   90","17.9","29.1",,,,,,,,,,,,,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-09","10.74"," 1948"," 1947",,"28","23","   10","   10","21.0","25.9","    1","    1",,,,,,,"    1",,"    1",,,"    1",,"    1",,,"    1"
"USW00094846","41.96017","-87.93164","204.8","2010-02-10","14.54"," 0834"," 0441",,"26","17","  330","  330","25.1","33.1","    1",,,,,,,"    1","    1",,"    1",,,"    1",,"    1",,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-11","5.82"," 1620"," 1622",,"30","10","  350","   10","12.1","16.1",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-12","4.70"," 1528"," 1642",,"32","10","  360","   40","8.9","17.9",,,,,,,,"    1",,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-13","7.16"," 1335"," 1335",,"30","11","  310","  310","15.0","17.9",,,,,,,,,,,,,,,,,,,
"USW00094846","41.96017","-87.93164","204.8","2010-02-14","5.59"," 1412"," 1341",,"29","9","  290","  270","12.1","15.0","    1",,,,,,"    1","    1",,,,,,,,,,,
